idtov	name
8VR	БОШ	5 Пилка лобз. T234 X PROGR  2 608 634 528	
8VS	БОШ Круг обдир.вогн. д/метал. 125*3  2 608 602 218
8VT	ЯЯ Стабилизатор СНВТ 3ф  4500W ЭНЕРГИЯ
8VU	уд.Датчик Ф. Camelion LX-01/SEN черный электронный
8VV	Makita Аккум. Дрель 2-х скор. 6319 DWAE 
8VW	Makita Аккум. Дрель 2-х скор. 6339 DWAE 
8VX	Пила дисковая Makita 5704RК1200W 5000об/мин 190мм 
8VY	Пила дисковая Makita 5705R 1400W 66мм 
 US	Хомут д/кабеля  3,6*250 бел.
8VZ	Дрель ударная Makita НР2050 
8W0	Дрель ударная Makita НР2071 1010W 1200-2900об/мин 
8W1	ЯЯ Makita Лобзик 4340 CT 720W 135мм 800-2800об/мин
8W2	Makita Лобзик 4341 CT 720W 135мм 800-2800об/мин.  
8W3	Рубанок Makita  1923Н 850W 82мм 16000об/мин.
8W4	Термовоздуходувка Makita HG 5002 1600W
8W5	Makita Машина углошлиф. 9555 NB 710W 125мм  
8W6	Машина углошлиф Makita GA 9020 2200W 230мм  
8W7	Makita Пила цепная DCS34-40 
8W8	HITACHI Аккум. Шурупов. DS 18 DMR 18v 2.6a/ч 62НМ 
9VV	Маслян. радиатор Domotek MS-4125 11секц.
8W9	HITACHI Аккум. Шурупов. DS 12 DVF3 12v 1.4а/ч 26HM
8WA	HITACHI Лобзик CJ 110 МVА 720W 0-3000х/мин "Т"хв  
8WB	Пила дисковая HITACHI C 6 MFA 1010ВW  
8WC	HITACHI Реклама 
8WD	ЯЯ Прожектор Ж004-250, 250W 
8WE	ЯЯ Кабель АВВГ 5*  6
8WF	Машина углошл HITACHI 1110W 10000об/м G13 V 125мм 
8WG	Лампа экон. DEK-P21 13W E27 2700K 
8WH	ЯЯ ЯЯ удален!1
8WI	уд.Фонарь Облик  622 N (12) 
5CX	ЯЯ Таль ручная ТРШ 2.0-6м стационарная
8WJ	уд.Фонарь Облик  622 YG ТТ аккум.+боков. лампа 12 
8WK	Лампа экон. Navigator  15W E27 SH 860 94 047 NCL  
8WL	Сет.фильтр Defender 5 гнезд 1,8м (40) 
8WM	Сет.фильтр Defender 5 гнезд 3м (40)	
8WN	Сет.фильтр Defender 5 гнезд 5м (40)	
8XX	Майка  ЭЛЕКТРИКА POLO красная раз. L  
8XY	Футболка  БОШ POLO корот. рукав синяя раз. XL 
8XZ	Футболка  БОШ POLO синяя раз. XXL 
8Y0	Футболка  БОШ POLO  длин. рукав раз. XL 
8Y1	Футболка  БОШ POLO корот. рукав раз. XXL
5CY	ЯЯ Клемма КЗ-200
8Y2	ЯЯ Куртка БОШ тонкая раз. XXL	
8Y3	Рубашка  БОШ синяя женская раз. М 
8Y4	Комплект  ЭЛЕКТРИКА (комбинез+куртка) раз. 50-52  
9CF	Халат  ЭЛЕКТРИКА без рукав. раз. 44-46
8Y6	Комбинезон  ЭЛЕКТРИКА зимний голубой раз. 48
8Y7	Ветровка  ЭЛЕКТРИКА синяя раз. 50-52  
8Y8	Комбинезон  ЭЛЕКТРИКА голубой раз. 52 
8Y9	Майка  ЭЛЕКТРИКА  красная раз. XXL
8YA	Комплект  ЭЛЕКТРИКА зимний (брюки+куртка) раз. 48 
8YB	Ботинки зимние раз. 41-44 
5CZ	ЯЯ Батарейка Panasonic Power Max  LR 03 4ВР3+1
8YE	Трансф сварочный ТДМ-160.1 220V 
8YF	ЯЯ Трансф сварочный ТДМ-160 
8YG	Трансф сварочный ТДМЭ-200 
8YH	ЯЯ Полуавтомат ПДГ-165 РБ (3В)  
8YI	Трансф сварочный ТДМ-160.1 220V 
8YK	ЯЯ Правила тех. экспл. эл. уст. (проверка знаний) 
8YN	Насос К  45-30-160 с дв. 7,5кW 3000об/мин	
8YU	ИНТЕРСКОЛ Аккум. Дрель-Шуруп. ДА-7,2 ЭР 2акк. кейс
8YV	Дрель-Шуруп.Аккум.ИНТЕРСКОЛ ДА-10/12 М2 
8YW	ЯЯ ИНТЕРСКОЛ Аккум. Дрель-Шуруп. ДА-14,4 ЭР 2акк.2
5D0	ЯЯ Батарейка Panasonic Xtreme  LR 20 2ВР
8YX	ЯЯ ИНТЕРСКОЛ Аккум. Дрель-Шуруп. ДА-18 ЭР 2акк.2ск
8YY	ИНТЕРСКОЛ Дрель Д-350ЭР 350W 10мм реверс
8YZ	ЯЯ ИНТЕРСКОЛ Дрель Д-550ЭР 550W 10мм реверс 
8Z0	ЯЯ ИНТЕРСКОЛ Дрель ДУ-580ЭР 580 кейс 13мм рев. уда
8Z1	ЯЯ ИНТЕРСКОЛ Дрель ДУ-750ЭР 750W 13мм реверс. удар
8Z2	ИНТЕРСКОЛ Дрель ДУ-780ЭР 780W кейс 13мм рев. удар.
8Z3	Дрель ИНТЕРСКОЛ ДУ-800ЭР 800W 13мм удар.
8Z4	Св-к газонный Е 20  
8Z5	Св-к газонный GL 209
8Z7	Св-к Ф 8102 100W черный	
5D1	Лампа цвет. C1 15 W E14 красная GE 22 806	
8Z6	ЯЯ ИНТЕРСКОЛ Дрель ДУ-16/1000ЭР 1000W кейс 16мм ре
8Z8	Св-к точеч. 305 R39 титан-золото Feron
8Z9	Контроллер 2W фиксинг  10-16 м  
8ZA	ЯЯ Щиток ЩЭУ6-4*32А 
8ZC	Электронасос САМ 198/25	
8ZD	ЯЯ ИНТЕРСКОЛ Дрель Д-1050Р 16мм рев 550 об/мин
8ZE	Шуруповерт ИНТЕРСКОЛ Ш-700ЭР 701W 
8ZF	Перфоратор ИНТЕРСКОЛ П-710ЭР 3-хреж.710W рев
8ZG	ИНТЕРСКОЛ Перфоратор П-710ЭР 3-хреж.710W рев кейс 
8ZH	Перфоратор ИНТЕРСКОЛ П-45 МЭ 1005W SDS-MAX кейс	
